Movie Name,Audience Score,Tomatometer Score,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
RUBY SPARKS,75,79,R (Some Drug Use|Language|Some Sexual References),"Romance, Fantasy",English,"Jonathan Dayton, Valerie Faris","Albert Berger, Ron Yerxa",Zoe Kazan,"Jul 25, 2012  Limited","Oct 30, 2012",$2.5M,1h 44m,Fox Searchlight,"Datasat, SDDS, Dolby Digital",,
THE AERONAUTS,95,72,PG-13 (Some Peril|Thematic Elements),"Adventure, Drama",English,Tom Harper,"Tom Harper, Todd Lieberman, David Hoberman",Jack Thorne,"Dec 6, 2019  Limited","Dec 19, 2019",$30.0K,1h 41m,Amazon Studios,Dolby Atmos,Scope (2.35:1),
WE THE ANIMALS,75,92,R (Nudity|Language|Strong Sexual Content|Underage Drug and Alcohol Use),"Drama, Lgbtq+",English,Jeremiah Zagar,"Jeremy Yaches, Christina D. King, Paul Mezey, Andrew Goldman","Jeremiah Zagar, Daniel Kitrosser","Aug 17, 2018  Limited","Nov 20, 2018",$400.4K,1h 34m,The Orchard,,,
ONE HOUR PHOTO,65,81,R (Sexual Content|Language),"Mystery & Thriller, Drama",English,Mark Romanek,"Pamela Koffler, Christine Vachon, Stan Wlodkowski",Mark Romanek,"Sep 6, 2002  Wide","Oct 14, 2003",$31.6M,1h 35m,Fox,"Surround, Dolby SR, Dolby Digital, Dolby A, Dolby Stereo",Flat (1.85:1),
STRANGERS ON A TRAIN,92,98,PG,Mystery & Thriller,English,Alfred Hitchcock,Alfred Hitchcock,"Whitfield Cook, Patricia Highsmith, Czenzi Ormonde","Jun 30, 1951  Original","Jan 6, 1998",,1h 41m,Warner Bros. Pictures,Mono,35mm,
TRUE THINGS,47,81,,"Drama, Romance",English,Harry Wootliff,"Tristan Goligher, Ben Jackson, Jude Law, Ruth Wilson","Molly Davies, Harry Wootliff","Sep 9, 2022  Limited","Sep 9, 2022",,1h 42m,Samuel Goldwyn Films,,,
ALL THE WAY,83,87,TV14,"Drama, Biography",English,Jay Roach,,Robert Schenkkan,,"Sep 6, 2016",,2h 12m,,Dolby Digital,,
BEACH RATS,57,85,R (Graphic Nudity|Drug Use|Language|Strong Sexual Content),"Drama, Lgbtq+",English,Eliza Hittman,"Brad Becker-Parton, Drew P. Houpt, Paul Mezey, Andrew Goldman",Eliza Hittman,"Aug 25, 2017  Limited","Nov 7, 2017",$472.4K,1h 37m,Neon,,Flat (1.85:1),
CELESTE AND JESSE FOREVER,62,71,R (Language|Drug Use|Sexual Content),"Romance, Comedy",English,Lee Toland Krieger,"Jennifer Todd, Suzanne Todd, Lee Nelson","Rashida Jones, Will McCormack","Aug 3, 2012  Limited","Feb 5, 2013",$3.1M,1h 30m,Sony Pictures Classics,,,
SLEEPING BEAUTY,80,89,G,"Kids & Family, Fantasy, Animation",English,Clyde Geronimi,Walt Disney,"Charles Perrault, Erdman Penner, Joe Rinaldi, Winston Hibler, Bill Peet, Ted Sears, Ralph Wright, Milt Banta","Jan 29, 1959  Original","Sep 24, 2019",$11.6M,1h 15m,Buena Vista Pictures,Magnetic Stereo 6 Track,,
TIGERS ARE NOT AFRAID,81,97,,"Fantasy, Mystery & Thriller, Horror",Spanish,Issa López,Marco Polo Constandse,Issa López,"Aug 23, 2019  Limited","Dec 3, 2019",$175.6K,1h 23m,,,,
ALWAYS SHINE,52,90,,"Mystery & Thriller, Drama",English,Sophia Takal,"Sophia Takal, Lawrence Michael Levine, Pierce Varous",Lawrence Michael Levine,"Nov 25, 2016  Limited","Mar 7, 2017",$4.2K,1h 27m,Oscilloscope Laboratories,,,
GINGER SNAPS,78,90,,"Horror, Mystery & Thriller",English,John Fawcett,"Karen Lee Hall, Steven Hoban","John Fawcett, Karen Walton, Karen Walton","Apr 21, 2000  Wide","Aug 22, 2005",$27.1K,1h 48m,UNAPIX Entertainment,"Dolby Stereo, Dolby Digital, Dolby A, Surround, Dolby SR",Flat (1.85:1),
HONEYMOON,44,76,R (Sexual Content|Language|Disturbing Bloody Images),Mystery & Thriller,English,Leigh Janiak,"Patrick Baker, Esme Howard","Leigh Janiak, Phil Graziadei","Sep 12, 2014  Limited","Jan 13, 2015",$9.2K,1h 28m,Magnolia Pictures,,,
LADY VENGEANCE,87,76,R (Some Sexuality|Some Involving Children|Strong Violent Content),"Mystery & Thriller, Comedy, Drama",Korean,Park Chan-wook,"Lee Tae-heon, Jo Yeonguk","Park Chan-wook, Jeong Seo-kyeong",,"Oct 6, 2009",$211.7K,1h 54m,,,,
PIECES OF APRIL,73,84,PG-13 (Images of Nudity|Drug Content|Language|Sensuality),"Comedy, Drama",English,Peter Hedges,"John S. Lyons, Gary Winick, Alexis Alexanian, Holly Becker",Peter Hedges,"Oct 17, 2003  Wide","Feb 24, 2004",$2.4M,1h 21m,Metro-Goldwyn-Mayer,Surround,,
SAVING MR. BANKS,84,79,PG-13 (Thematic Elements|Some Unsettling Images),"Drama, Comedy",English,John Lee Hancock,"Alison Owen, Ian Collie, Philip Steuer","Kelly Marcel, Sue Smith","Dec 20, 2013  Wide","Mar 18, 2014",$83.3M,2h 5m,Walt Disney,"Datasat, Dolby Digital",,
THE CABINET OF DR. CALIGARI,89,96,,"Horror, Fantasy, Mystery & Thriller",German,Robert Wiene,"Rudolf Meinert, Erich Pommer","Hans Janowitz, Carl Mayer","Mar 19, 1921  Wide","Feb 16, 1999",,1h 9m,"Grapevine Video, Kino Video",,,
I LOVE YOU PHILLIP MORRIS,61,71,R (Sexual Content|Language|Strong Dialogue),"Romance, Comedy, Drama, Lgbtq+",English,"Glenn Ficarra, John Requa","Andrew Lazar, Far Shariat","Glenn Ficarra, John Requa","Dec 3, 2010  Limited","Aug 25, 2010",$2.0M,1h 38m,Roadside Attractions,"Dolby, DTS",,
